registro,codmes,customer_id,segmento,plazo,coddiv,importe,di,tasa,spread,personal_type,personal_id,plazo_dias,flag_vta,cutoff_date,variable_1,variable_2,variable_3,variable_4,variable_5,variable_6,variable_7,variable_8,variable_9,variable_10,variable_11,variable_12,variable_13,variable_14,variable_15,variable_16,variable_17,variable_18,variable_19,variable_20,variable_21,variable_22
DPPN-2387339,202403,0,PRIME,3 meses,PEN,298000,1.3126,0.057,0.0074,7,11048,360,1,28/02/2025,0.668057,,,0.764930455,,0.17238854,0.611727884,0.354254309,0.128967524,0.37056162,0.493915395,0.277362627,0.651385713,A,A,F,F,E,C,O,I,W
DPPN-4084693,202506,0,PRIME,3 meses,PEN,436000,2.1958,0.087,0.0074,7,11843,360,0,28/02/2025,0.077723721,0.402427394,,0.506823162,0.463738122,0.472066948,0.324575428,0.915358826,0.455383473,0.929510435,0.01790657,0.454606585,0.661650018,D,E,E,C,C,H,P,H,J
DPPN-1833854,202403,0,RETAIL,3 meses,PEN,253000,1.0246,0.03,0.0011,7,11999,360,0,29/02/2024,0.535401537,0.003444352,0.693745215,0.849316725,,0.731721538,0.088321977,0.474240795,0.939652213,0.578579788,0.401384577,0.939984212,0.580559825,C,A,A,G,E,N,S,D,K
DPPN-1280369,202411,0,PRIME,3 meses,PEN,208000,0.7366,0.078,0.0074,7,14101,360,1,28/02/2025,0.013296882,,,,,0.08858372,0.770596809,0.64715021,0.653762463,0.57946973,0.676704988,0.107467239,0.766298182,C,E,E,G,C,Q,O,E,S
DPPN-1981450,202502,0,RETAIL,3 meses,PEN,265000,1.1014,0.088,0.0011,7,14733,360,0,29/02/2024,0.323106547,0.035614423,,0.736854909,,0.633310563,0.905856305,0.747672476,0.906334798,0.177958557,0.304366547,0.68349931,0.483596965,A,D,C,C,A,J,H,D,H
DPPN-4859572,202512,0,RETAIL,3 meses,PEN,499000,2.599,0.07,0.0011,7,15025,360,0,29/02/2024,0.11272133,0.562743228,0.798594592,,,0.816932228,0.583818733,0.726720352,0.880172328,0.506084598,0.020542558,0.837369052,0.288619348,A,F,A,E,E,A,N,L,P
DPPN-653086,202502,0,RETAIL,3 meses,PEN,157000,0.4102,0.042,0.0011,7,16195,360,0,29/02/2024,0.352124515,0.092256759,0.288467092,0.936614274,,0.67840228,0.249965623,0.54273146,0.397102931,0.832930639,0.67719105,0.520687656,0.903899252,B,F,F,I,B,S,G,I,V
DPPN-4269188,202310,0,RETAIL,3 meses,PEN,451000,2.2918,0.089,0.0011,7,17948,360,0,29/02/2024,0.216262261,0.28399908,,0.212012213,,0.444073035,0.660937475,0.879311493,0.153880958,0.506013442,0.567031373,0.863132376,0.434654605,D,F,G,I,E,D,P,L,S
DPPN-3937097,202308,0,PRIME,3 meses,PEN,424000,2.119,0.029,0.0074,7,18322,360,1,28/02/2025,0.802813119,0.625629004,,,,0.05983436,0.605341406,0.771156563,0.379083646,0.915457672,0.058429915,0.641867465,0.402273576,C,E,G,E,A,P,E,M,Y
DPPN-1723157,202501,0,PRIME,3 meses,PEN,244000,0.967,0.067,0.0074,7,19107,360,0,28/02/2025,0.463861452,,0.766643577,,,0.691119401,0.83084524,0.56574162,0.113677062,0.331952163,0.540091717,0.866096445,0.981285772,A,F,D,G,A,T,D,G,B
DPPN-3383612,202304,0,RETAIL,3 meses,PEN,379000,1.831,0.084,0.0011,7,19115,360,1,29/02/2024,0.256430638,0.138148811,,,,0.433509982,0.445975306,0.4389146,0.115582224,0.515139162,1.20E-05,0.397473806,0.842190203,A,B,C,H,C,B,L,F,V
DPPN-4195390,202401,0,RETAIL,3 meses,PEN,445000,2.2534,0.022,0.0011,7,19129,360,1,29/02/2024,0.660920266,0.98127912,0.003041205,,0.801499749,0.050208183,0.501467008,0.710148296,0.037420844,0.430739936,0.190485326,0.322468789,0.34426953,A,A,E,C,D,C,L,M,J
DPPN-1649359,202303,0,PRIME,3 meses,PEN,238000,0.9286,0.036,0.0074,7,20910,360,1,28/02/2025,0.950100611,0.65877154,,,,0.795198682,0.490034603,0.152673017,0.178427037,0.510137488,0.340208823,0.647583689,0.82816775,A,F,E,I,D,K,A,H,M
DPPN-2018349,202406,0,PRIME,3 meses,PEN,268000,1.1206,0.045,0.0074,7,21561,360,1,28/02/2025,0.27629061,0.151395337,0.240055657,0.9624136,,0.764050905,0.935835974,0.106780119,0.604614438,0.425349164,0.986331099,0.642885735,0.354848521,C,A,D,A,D,M,J,N,L
DPPN-210298,202311,0,RETAIL,3 meses,PEN,121000,0.1798,0.058,0.0011,7,21943,360,0,29/02/2024,0.666757336,0.589255413,0.770112851,0.638973212,,0.498461236,0.877220746,0.828687468,0.488168575,0.732131732,0.840381661,0.73001994,0.851781002,C,E,D,E,C,U,I,K,K
DPPN-911379,202411,0,PRIME,3 meses,PEN,178000,0.5446,0.082,0.0074,7,23616,360,0,28/02/2025,0.551533127,0.682059405,,0.911589333,,0.847497677,0.649551389,0.608302144,0.794684611,0.870862453,0.958385206,0.29941882,0.757857786,B,F,D,J,D,G,F,D,U
DPPN-3752602,202504,0,RETAIL,3 meses,PEN,409000,2.023,0.085,0.0011,7,23716,360,1,29/02/2024,0.518436424,0.621064527,0.670874459,,0.86891388,0.933106914,0.509502989,0.225303544,0.943939672,0.995615004,0.257465732,0.378264768,0.896387618,D,A,D,J,B,L,G,F,O
DPPN-3863299,202308,0,PRIME,3 meses,PEN,418000,2.0806,0.07,0.0074,7,23799,360,1,28/02/2025,0.438252843,0.653405129,0.198676902,0.007668243,,0.663122517,0.891330999,0.073021921,0.974308569,0.458401229,0.74407982,0.27098351,0.821866107,D,C,E,C,D,D,H,A,J
DPPN-99601,202307,0,PRIME,3 meses,PEN,112000,0.1222,0.032,0.0074,7,26621,360,0,28/02/2025,0.687814697,,0.246540254,,,0.764542954,0.392969737,0.157809195,0.914339555,0.224521394,0.764162944,0.606394438,0.468047498,A,A,B,A,A,T,O,I,Z
DPPN-3494309,202303,0,PRIME,3 meses,PEN,388000,1.8886,0.037,0.0074,7,26745,360,1,28/02/2025,0.425792127,,0.331425948,0.404420259,,0.796675806,0.061831303,0.906978694,0.462905867,0.000508087,0.36033675,0.573399267,0.021005295,C,E,C,B,B,T,P,K,N
DPPN-47995,202511,0,PRIME,3 meses,PEN,100000,0.0454,0.023,0.0074,7,27140,360,0,28/02/2025,0.363593665,0.353452524,,0.247316461,,0.167691269,0.682308293,0.721911731,0.220256761,0.407780464,0.555253567,0.678259471,0.845199742,A,F,C,I,B,H,K,N,J
DPPN-1870753,202502,0,PRIME,3 meses,PEN,256000,1.0438,0.077,0.0074,7,27249,360,0,28/02/2025,0.800356961,0.567592114,0.479877486,0.113528308,,0.280980656,0.437826152,0.057803505,0.580718554,0.686151659,0.359259195,0.619649319,0.717596524,D,F,B,E,D,N,F,M,H
DPPN-3420511,202501,0,PRIME,3 meses,PEN,382000,1.8502,0.074,0.0074,7,27388,360,1,28/02/2025,0.418948012,0.967715229,,,,0.890874426,0.903384119,0.29826534,0.159149487,0.923705437,0.518028028,0.062703543,0.352401294,C,F,E,J,A,D,Q,A,M
DPPN-1095874,202509,0,RETAIL,3 meses,PEN,193000,0.6406,0.06,0.0011,7,27452,360,1,29/02/2024,0.981893142,,,,,0.889098295,0.736246197,0.057879647,0.945178964,0.525136587,0.980374739,0.345616821,0.769205634,B,D,E,K,E,D,F,A,B
DPPN-2202844,202311,0,RETAIL,3 meses,PEN,283000,1.2166,0.024,0.0011,7,28860,360,1,29/02/2024,0.650894446,0.697296965,0.199529693,,,0.529498964,0.516973897,0.648591564,0.356475086,0.730286915,0.874686638,0.287639351,0.299829144,D,E,F,L,B,E,G,A,W
DPPN-357894,202401,0,RETAIL,3 meses,PEN,133000,0.2566,0.036,0.0011,7,29346,360,1,29/02/2024,0.511114454,0.334939971,0.345002237,0.273615264,0.253022148,0.148951539,0.350620847,0.348261526,0.599944692,0.242965039,0.743332259,0.916562661,0.823415326,B,B,G,H,D,L,B,D,N
DPPN-1354167,202501,0,PRIME,3 meses,PEN,214000,0.775,0.078,0.0074,7,32853,360,1,28/02/2025,0.442752524,,0.468366674,,,0.580664955,0.91105624,0.122125407,0.116968621,0.844368132,0.665399441,0.892082412,0.583240407,A,E,E,H,B,F,A,D,X
DPPN-2055248,202308,0,RETAIL,3 meses,PEN,271000,1.1398,0.029,0.0011,7,33221,360,0,29/02/2024,0.058544839,,0.999837826,,,0.757356446,0.626705112,0.326593612,0.586170717,0.177571488,0.46687949,0.851832993,0.818871327,D,B,A,H,B,F,B,N,T
DPPN-3088420,202509,0,RETAIL,3 meses,PEN,355000,1.6774,0.059,0.0011,7,33511,360,1,29/02/2024,0.872023364,0.21639357,,,,0.9363229,0.937153759,0.739772687,0.360873892,0.935007105,0.036692983,0.503107671,0.208613243,D,D,A,I,D,N,L,F,P
DPPN-2830127,202402,0,PRIME,3 meses,PEN,334000,1.543,0.088,0.0074,7,35408,360,0,28/02/2025,0.927595049,0.886943819,0.951735146,,,0.970361003,0.008255753,0.006284151,0.917170739,0.515907664,0.736309031,0.888417923,0.481200146,D,F,E,L,E,N,M,K,F
DPPN-2867026,202510,0,RETAIL,3 meses,PEN,337000,1.5622,0.025,0.0011,7,35445,360,1,29/02/2024,0.419800201,0.498594174,0.463820394,,,0.535556367,0.113894274,0.874638452,0.145161564,0.188926615,0.88637013,0.564136542,0.241484175,D,E,F,J,B,R,L,O,A
DPPN-3457410,202305,0,RETAIL,3 meses,PEN,385000,1.8694,0.089,0.0011,7,35871,360,0,29/02/2024,0.526178321,0.255719559,0.227347512,,,0.524746769,0.071843033,0.128591385,0.985309274,0.609851387,0.929812281,0.012198005,0.29806591,B,B,A,C,C,O,I,C,D
DPPN-2682531,202501,0,PRIME,3 meses,PEN,322000,1.4662,0.089,0.0074,7,36044,360,1,28/02/2025,0.750224023,,0.865032307,,0.849929836,0.478257192,0.224453594,0.318750205,0.087078569,0.820636966,0.980676706,0.308160343,0.203324898,D,D,H,H,D,C,A,G,Z
DPPN-1760056,202306,0,RETAIL,3 meses,PEN,247000,0.9862,0.024,0.0011,7,36555,360,0,29/02/2024,0.850576307,0.054238945,0.92266598,0.998893628,,0.896981209,0.812811785,0.949680688,0.069698227,0.747222069,0.917242136,0.407525383,0.574312565,B,B,G,C,C,D,C,O,U
DPPN-284096,202301,0,RETAIL,3 meses,PEN,127000,0.2182,0.061,0.0011,7,36793,360,1,29/02/2024,0.324645405,0.118200437,0.808236542,,,0.228599028,0.335507264,0.853483446,0.887854482,0.865677283,0.332730711,0.099098825,0.186930769,B,F,E,E,B,H,S,F,M
DPPN-468591,202508,0,PRIME,3 meses,PEN,142000,0.3142,0.078,0.0074,7,37371,360,0,28/02/2025,0.641881873,,0.166961467,,,0.544491303,0.726012814,0.706493606,0.720563783,0.834109798,0.553023877,0.626655063,0.956223453,B,A,A,K,A,B,Q,O,R
DPPN-431692,202509,0,RETAIL,3 meses,PEN,139000,0.295,0.048,0.0011,7,38426,360,0,29/02/2024,0.153078545,0.120227455,,,,0.14683479,0.28484523,0.876763939,0.809020091,0.447280702,0.339741911,0.135804633,0.290484506,C,C,E,C,E,A,P,C,A
DPPN-2903925,202312,0,PRIME,3 meses,PEN,340000,1.5814,0.08,0.0074,7,39640,360,0,28/02/2025,0.982683027,0.765006046,0.984505216,0.63198016,,0.127833139,0.032778014,0.106037208,0.459721566,0.807350971,0.773084235,0.025353125,0.26828909,C,C,C,I,E,A,P,H,J
DPPN-3641905,202503,0,PRIME,3 meses,PEN,400000,1.9654,0.077,0.0074,7,39961,360,1,28/02/2025,0.545611794,0.070925038,,,,0.575197376,0.935719625,0.539793131,0.784466732,0.052345227,0.868514145,0.392339314,0.894879644,D,C,E,A,B,U,H,D,P
DPPN-3973996,202312,0,RETAIL,3 meses,PEN,427000,2.1382,0.024,0.0011,7,41365,360,1,29/02/2024,0.891780777,0.121580838,0.789124185,,,0.490203005,0.848647293,0.581611587,0.723094655,0.205120235,0.226947776,0.233616784,0.262729452,D,D,D,I,D,Q,I,K,O
DPPN-1391066,202309,0,RETAIL,3 meses,PEN,217000,0.7942,0.066,0.0011,7,41587,360,0,29/02/2024,0.178546809,0.478317283,,0.160129277,,0.623732314,0.96564067,0.401730048,0.486275518,0.438578084,0.952835239,0.842351672,0.239177928,D,B,C,D,B,D,F,F,A
DPPN-1206571,202405,0,PRIME,3 meses,PEN,202000,0.6982,0.079,0.0074,7,41941,360,0,28/02/2025,0.368653104,0.595996648,,,,0.456482393,0.007833335,0.868893213,0.513281733,0.804338305,0.804551893,0.16709248,0.49499836,C,F,H,L,D,U,H,F,N
DPPN-320995,202510,0,PRIME,3 meses,PEN,130000,0.2374,0.076,0.0074,7,42137,360,0,28/02/2025,0.725498598,0.974253433,0.307502675,0.96158505,0.670945596,0.862293637,0.138784139,0.311522765,0.755241858,0.649719224,0.288653241,0.195007277,0.377702522,D,B,C,J,C,N,G,B,G
DPPN-2940824,202501,0,RETAIL,3 meses,PEN,343000,1.6006,0.077,0.0011,7,43017,360,0,29/02/2024,0.058673121,0.990260855,0.673874648,,0.541653149,0.32040078,0.8033593,0.772030735,0.431839977,0.218851557,0.016276999,0.847547704,0.294325261,A,C,C,K,A,C,M,K,G
DPPN-1427965,202412,0,PRIME,3 meses,PEN,220000,0.8134,0.086,0.0074,7,45641,360,1,28/02/2025,0.132324193,0.651569637,0.617199975,0.830703209,,0.239278745,0.505696879,0.858512878,0.924988948,0.442003689,0.84435838,0.751394543,0.131748323,A,F,D,L,C,A,L,H,I
DPPN-4564380,202311,0,RETAIL,3 meses,PEN,475000,2.4454,0.038,0.0011,7,45689,360,0,29/02/2024,0.655963451,0.831886455,,,,0.894390969,0.592851645,0.779487938,0.146054254,0.455244259,0.604438427,0.602944221,0.439033551,C,D,F,I,B,U,R,C,G
DPPN-4232289,202502,0,PRIME,3 meses,PEN,448000,2.2726,0.034,0.0074,7,45989,360,0,28/02/2025,0.859260215,0.6817758,0.776864605,,,0.952334424,0.955652851,0.84076632,0.053467504,0.3981109,0.406591245,0.50135977,0.800630849,B,F,A,J,E,L,L,D,W
DPPN-2719430,202311,0,RETAIL,3 meses,PEN,325000,1.4854,0.043,0.0011,7,46071,360,1,29/02/2024,0.947529907,0.825862515,0.172892476,0.565077119,,0.755547691,0.351111774,0.041421121,0.892237043,0.64993498,0.945950356,0.882065838,0.284657032,A,A,F,C,B,T,D,M,K
DPPN-800682,202311,0,RETAIL,3 meses,PEN,169000,0.487,0.055,0.0011,7,47124,360,0,29/02/2024,0.032537292,,,0.05704537,,0.579160886,0.715614782,0.047842672,0.794970994,0.790693509,0.828675708,0.181182944,0.748645297,A,F,C,E,C,A,R,O,U
DPPN-1243470,202503,0,RETAIL,3 meses,PEN,205000,0.7174,0.059,0.0011,7,47380,360,1,29/02/2024,0.96072875,,0.280998985,0.421086827,,0.706955621,0.630204365,0.344589576,0.786574626,0.93368577,0.824887189,0.276975899,0.193033443,A,B,B,F,C,H,N,M,X
DPPN-4601279,202310,0,PRIME,3 meses,PEN,478000,2.4646,0.055,0.0074,7,47562,360,0,28/02/2025,0.834610977,0.544473604,,,0.112598077,0.854491797,0.063299446,0.802714748,0.374061873,0.732598149,0.697373827,0.503989736,0.243498613,C,C,E,L,C,A,C,N,N
DPPN-2756329,202406,0,PRIME,3 meses,PEN,328000,1.5046,0.05,0.0074,7,48660,360,0,28/02/2025,0.55878793,0.004266236,,0.504763478,0.462652263,0.886859441,0.469057104,0.823860076,0.238451049,0.03191706,0.481340356,0.288364569,0.814287528,A,A,C,B,D,M,M,D,J
DPPN-4121592,202312,0,RETAIL,3 meses,PEN,439000,2.215,0.031,0.0011,7,49988,360,1,29/02/2024,0.39108264,,0.915514965,0.012630743,,0.252179534,0.792133787,0.85355787,0.945129309,0.382989543,0.722798851,0.070118413,0.507320986,C,C,A,B,C,I,G,E,X
DPPN-247197,202411,0,PRIME,3 meses,PEN,124000,0.199,0.074,0.0074,7,50319,360,0,28/02/2025,0.308741381,0.628047489,0.271248783,0.774280236,,0.011076379,0.608525291,0.11729928,0.32855954,0.12925795,0.467329604,0.664531501,0.702067493,A,E,F,L,C,Q,F,L,R
DPPN-2239743,202305,0,PRIME,3 meses,PEN,286000,1.2358,0.066,0.0074,7,51508,360,0,28/02/2025,0.598807585,0.417562036,,0.099174827,,0.852216376,0.329778683,0.588204907,0.650986263,0.149112737,0.924451538,0.13680407,0.526191895,A,B,A,L,E,T,Q,J,P
DPPN-2498036,202412,0,RETAIL,3 meses,PEN,307000,1.3702,0.055,0.0011,7,51971,360,1,29/02/2024,0.745919509,0.472920958,0.712824736,,,0.01088295,0.403081727,0.036153987,0.089562079,0.913293116,0.670296709,0.972789696,0.537021426,B,C,A,D,B,L,A,G,F
DPPN-1575561,202302,0,PRIME,3 meses,PEN,232000,0.8902,0.039,0.0074,7,52095,360,1,28/02/2025,0.723250445,0.538526722,,0.693258011,,0.264416867,0.961937383,0.185467908,0.986477734,0.559771782,0.018974684,0.749594978,0.069678163,A,C,G,C,D,K,R,D,C
DPPN-1686258,202406,0,RETAIL,3 meses,PEN,241000,0.9478,0.028,0.0011,7,53913,360,0,29/02/2024,0.74601522,0.363172489,,,,0.216964416,0.217184628,0.419858736,0.982337152,0.628285546,0.352327082,0.529014583,0.967660397,C,B,A,I,C,J,G,F,N
DPPN-4306087,202507,0,PRIME,3 meses,PEN,454000,2.311,0.079,0.0074,7,55049,360,1,28/02/2025,0.487364901,0.018282621,,,,0.068450477,0.572009287,0.558275208,0.398982933,0.871515437,0.411391879,0.433090501,0.713841392,C,E,D,D,C,O,R,K,F
DPPN-4675077,202301,0,PRIME,3 meses,PEN,484000,2.503,0.025,0.0074,7,55067,360,1,28/02/2025,0.921205286,0.156776539,0.405867835,,,0.642073573,0.33785206,0.980068846,0.673045935,0.389961296,0.816374767,0.554234053,0.404941451,B,C,G,E,E,K,D,C,L
DPPN-2424238,202511,0,RETAIL,3 meses,PEN,301000,1.3318,0.06,0.0011,7,55094,360,1,29/02/2024,0.712995911,0.770840451,0.751090089,,,0.009585674,0.708780081,0.216198506,0.520358917,0.171734122,0.129439496,0.340403679,0.390035868,D,D,E,I,E,I,P,A,F
DPPN-3789501,202301,0,PRIME,3 meses,PEN,412000,2.0422,0.036,0.0074,7,55441,360,0,28/02/2025,0.16583045,0.60563888,0.146685258,,,0.800904908,0.292102742,0.392800355,0.885558442,0.356071036,0.600598038,0.159609718,0.914638155,B,A,F,A,E,D,Q,F,H
DPPN-1612460,202503,0,RETAIL,3 meses,PEN,235000,0.9094,0.073,0.0011,7,57189,360,0,29/02/2024,0.644782887,0.919304705,0.901113889,,,0.726871585,0.80077138,0.010958256,0.641744048,0.965979167,0.572270296,0.779370104,0.34552314,C,A,H,K,B,H,B,O,E
DPPN-4453683,202312,0,PRIME,3 meses,PEN,466000,2.3878,0.063,0.0074,7,57977,360,1,28/02/2025,0.608611531,0.631695526,,,,0.559425136,0.99231327,0.409096492,0.158064976,0.332930812,0.848797088,0.15019116,0.901702966,A,A,A,D,E,G,O,G,M
DPPN-136500,202311,0,RETAIL,3 meses,PEN,115000,0.1414,0.03,0.0011,7,59205,360,1,29/02/2024,0.173451076,0.095102664,0.145629397,,0.683875088,0.769910377,0.11941918,0.528615226,0.4517851,0.461341863,0.070994463,0.544590935,0.020931199,A,B,A,H,A,E,C,B,I
DPPN-2313541,202412,0,PRIME,3 meses,PEN,292000,1.2742,0.066,0.0074,7,59236,360,0,28/02/2025,0.368303278,0.810845577,,,,0.788139769,0.568389013,0.184181053,0.230749556,0.058256618,0.945385837,0.826311865,0.330222344,B,B,F,D,C,G,Q,L,R
DPPN-4785774,202303,0,RETAIL,3 meses,PEN,493000,2.5606,0.074,0.0011,7,59458,360,0,29/02/2024,0.646302067,0.966076743,0.252814065,0.678608319,,0.071140396,0.979192808,0.798811859,0.325468673,0.222507525,0.577609806,0.845316771,0.363542302,C,C,A,H,E,D,G,B,U
DPPN-3346713,202401,0,PRIME,3 meses,PEN,376000,1.8118,0.067,0.0074,7,60424,360,1,28/02/2025,0.613988173,0.717012504,,0.734559532,,0.14404669,0.023349835,0.804749604,0.054638772,0.187282116,0.154439264,0.915941298,0.090214865,D,A,F,B,E,K,A,D,V
DPPN-837581,202403,0,PRIME,3 meses,PEN,172000,0.5062,0.081,0.0074,7,60600,360,1,28/02/2025,0.532755839,0.153840768,,,,0.155080926,0.051257766,0.154432159,0.792999763,0.541925404,0.015846435,0.769725646,0.73234048,D,F,C,H,E,G,B,E,Z
DPPN-763783,202301,0,PRIME,3 meses,PEN,166000,0.4678,0.049,0.0074,7,60755,360,1,28/02/2025,0.288707664,0.27876686,0.901038501,0.283546422,,0.19623507,0.690891648,0.537250121,0.706327569,0.082152894,0.388853608,0.581325481,0.864574437,D,A,C,H,C,K,O,E,B
DPPN-3605006,202504,0,RETAIL,3 meses,PEN,397000,1.9462,0.039,0.0011,7,61157,360,1,29/02/2024,0.978513533,0.877465071,0.082677311,,0.959359859,0.693510588,0.669206675,0.395696237,0.674339392,0.678858366,0.862447774,0.133996188,0.844090866,A,D,G,H,C,I,J,O,N
DPPN-2793228,202412,0,RETAIL,3 meses,PEN,331000,1.5238,0.036,0.0011,7,61604,360,1,29/02/2024,0.596389496,0.023736481,,,,0.641786255,0.540045883,0.803334381,0.23319192,0.90695051,0.260587469,0.474272888,0.64204427,D,A,F,I,A,T,H,H,C
DPPN-2571834,202303,0,RETAIL,3 meses,PEN,313000,1.4086,0.08,0.0011,7,62091,360,1,29/02/2024,0.344277644,0.737345056,,0.59943788,,0.780657766,0.348352245,0.052340981,0.900689093,0.995447808,0.063748979,0.044901374,0.20528997,C,F,B,A,C,L,G,L,O
DPPN-4896471,202402,0,PRIME,3 meses,PEN,502000,2.6182,0.074,0.0074,7,62945,360,0,28/02/2025,0.500300666,0.877760624,,,,0.169049722,0.676126364,0.302551111,0.831517992,0.046603379,0.318586358,0.796789133,0.569395091,D,B,A,A,A,U,N,O,C
DPPN-1944551,202505,0,PRIME,3 meses,PEN,262000,1.0822,0.03,0.0074,7,63185,360,0,28/02/2025,0.115798142,,0.880987806,,0.964258545,0.227663855,0.311309168,0.217603014,0.303326947,0.241405521,0.568227178,0.687575934,0.591977734,A,F,G,E,C,M,C,K,Y
